,ID,NAME,IS_AUTOMATED,TEST_LAYER,SEVERITY,PROJECT,ENV
0,13598,Заглушки аватаров магазинов,False,,Trivial,Sellers: Web,Web
1,13592,Сортировка таблицы всех ставок,False,,,Sellers: Web,Web
2,13570,Валидация расчетного счета на первые цифры. Негативные кейсы,False,,Minor,Sellers: Web,Web
3,13569,Валидация расчетного счета на первые цифры номера р/c,False,,Minor,Sellers: Web,Web
4,13551,"Модальное окно ""Где продвигать""",False,,,Sellers: Web,Web
5,13542,Аналитика. График таблицы динамики продаж,False,,Normal,Sellers: Web,Web
6,13541,"Модальное окно, раздел ""Когда продвигать""",False,,,Sellers: Web,Web
7,13540,Модальное окно создании ставки,False,,,Sellers: Web,Web
8,13203,Датапикер чарта возвратов на странице товара,False,,Normal,Sellers: Web,Web
9,13202,Аналитика. Датапикер чарта возвратов,False,,Normal,Sellers: Web,Web
10,13120,Вид фильтра по отчетам,False,,Normal,Sellers: Web,Web
11,12997,should render placeholder mainText when text prop is passed,True,Unit Tests,,Sellers: Web,Web
12,12995,should render button when buttonText is passed in text prop,True,Unit Tests,,Sellers: Web,Web
13,12996,should not render button when buttonText is not passed in text prop,True,Unit Tests,,Sellers: Web,Web
14,12986,должен вернуть список вариантов без последнего вспомогательного элемента,True,,,Sellers: Web,Web
15,12983,должен добавить поле после ввода нового значения,True,,,Sellers: Web,Web
16,12985,должен удалить вариант после очистки поля,True,,,Sellers: Web,Web
17,12984,должен добавить поле для создания нового значения,True,,,Sellers: Web,Web
18,12987,должен удалить вариант после клика на иконку удаления,True,,,Sellers: Web,Web
19,12973,должен вернуть корректную дату с указанным временем HH:mm,True,,,Sellers: Web,Web
20,12970,должен вернуть false если ввели 24:00,True,,,Sellers: Web,Web
21,12974,должен вернуть false если указанная дата раньше другой,True,,,Sellers: Web,Web
22,12972,должен вернуть true если указанная дата раньше другой,True,,,Sellers: Web,Web
23,12971,должен вернуть true если указанная дата после другой,True,,,Sellers: Web,Web
24,12969,должен вернуть false если ввели 00:60,True,,,Sellers: Web,Web
25,12968,должен вернуть false если ввели 0:14,True,,,Sellers: Web,Web
26,12966,должен вернуть false если ввели 123:00,True,,,Sellers: Web,Web
27,12965,должен вернуть false если указанная дата после другой,True,,,Sellers: Web,Web
28,12967,должен вернуть true если ввели корректное время 14:14,True,,,Sellers: Web,Web
